nombre,categoria, precio ,stock,ml,tipo,aroma,marca,imagen 
CARLO CORINTO EAU BLEUE,caballero," $1054.00 ",2,100,EDT,Amaderada,CARLO CORINTO,https://intranet.ufra.com.mx/img/products/catalog/1050048034/1050048034_1.jpg
CARLO CORINTO,caballero," $1085.00 ",2,100,EDT,Amaderada,CARLO CORINTO,9034
SET CARLO CORINTO DARK 3PZS,caballero," $1116.00 ",1,100,EDP,Amaderada,CARLO CORINTO,1050056404
CARLO CORINTO ONE FOREVER MAN,caballero," $1054.00 ",1,100,EDP,Amaderada,CARLO CORINTO,1050060034
CARLO CORINTO ONE MAN,caballero," $1054.00 ",2,100,EDP,Amaderada,CARLO CORINTO,53034
BAD BOY CAROLINA HERRERA,caballero," $2319.00 ",2,100,EDT,Amaderada,CAROLINA HERRERA,https://cdn.fragrancenet.com/images/photos/600x600/336422.jpg
212 MEN NYC EDT,caballero," $2573.00 ",0,100,EDT,Amaderada,CAROLINA HERRERA,https://intranet.ufra.com.mx/img/products/catalog/024160/024160_1.jpg
212 MEN MTV,caballero," $2410.00 ",1,100,EDT,Amaderada,CAROLINA HERRERA,65202407
212 HEROES ,caballero," $2705.00 ",1,90,EDT,Amaderada,CAROLINA HERRERA,65156400
BAD BOY EXTREME,caballero," $3100.00 ",1,100,EDP,Amaderada,CAROLINA HERRERA,65187305
CHIC FOR MEN,caballero," $2488.00 ",1,100,EDT,Amaderada,CAROLINA HERRERA,6001160
CH MEN PASIÓN,caballero," $2705.00 ",1,100,EDP,Amaderada,CAROLINA HERRERA,65186839
CH MEN,caballero," $2728.00 ",2,100,EDT,Amaderada,CAROLINA HERRERA,https://intranet.ufra.com.mx/img/products/catalog/06792/06792_1.jpg
CK ONE,caballero," $1070.00 ",2,100,EDT,Amaderada,CALVIN KLEIN ,10740
COOL WATER,caballero," $930.00 ",1,125,EDT,Marina,DAVIDOFF,https://intranet.ufra.com.mx/img/products/catalog/080153/080153_1.jpg
D BY DIESEL,caballero," $1814.00 ",2,100,EDT,Amaderada,DIESEL,LD552800
DIESEL ONLY THE BRAVE,caballero," $1170.00 ",1,125,EDT,Amaderada,DIESEL,6164420
DIOR HOMME INTENSE,caballero," $3712.00 ",1,100,EDP,Amaderada,DIOR,F047924709
DOLCE & GABBANA,caballero," $2519.00 ",1,100,EDP,Amaderada,DOLCE & GABBANA,https://chapurmx.vtexassets.com/arquivos/ids/361823/5763938-2.jpg?v=638515011517300000
DOLCE & GABBANA LIGHT BLUE,caballero," $2015.00 ",1,125,EDT,Acuatica,DOLCE & GABBANA,1G95150000
SCUDERIA FERRARI BLACK,caballero," $744.00 ",1,125,EDT,Amaderada,FERRARI,4604
FERRIONI UOMO,caballero," $1008.00 ",1,100,EDT,Amaderada,FERRIONI,132M003034
FERRIONI DEEP BLUE,caballero," $946.00 ",0,100,EDT,Acuatica,FERRIONI,29112
SET FERRIONI OOH BOY! NEON VIBES 3PZS,caballero," $1077.00 ",1,100,EDT,Amaderada,FERRIONI,2034404
NEON VIBES# OohBoy!,caballero," $791.00 ",2,100,EDT,Amaderada,FERRIONI,1320031034
NEON VIBES #HeyDude!,caballero," $791.00 ",2,100,EDT,Amaderada,FERRIONI,1320032034
SET ACQUA DI GIO 2PZS,caballero," $3023.00 ",2,100,EDT,Acuatica,GIORGIO ARMANI,LF020600
ACQUA DI GIO,caballero," $3023.00 ",1,100,EDP,Acuatica,GIORGIO ARMANI,https://i5.walmartimages.com.mx/mg/gm/1p/images/product-images/img_large/00336037205887l.jpg
